Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
33,r33,d,NonIsland,mismatch,Strong,d,A brilliant resume can pay off.,There was an intern who a salesman thought that the managers hired her immediately without an interview.
34,r34,c,NonIsland,match,Strong,d,Speed traps are becoming common in the city.,There was a driver who a woman believed that the police arrested her for speeding last night.
35,r35,b,Island,mismatch,Strong,d,Working at a restaurant can be nerve-wracking.,There was a colleague who a waitress was distressed because the cooks criticized him for no reason yesterday.
36,r36,a,Island,match,Strong,d,Working at a hotel is not fun.,There was a server who a hostess was upset because the customers harassed her constantly last week.
37,r37,d,NonIsland,mismatch,Weak,d,Show business is tough.,There was an agent who an actress thought that the producers despised him vehemently for good reason.
38,r38,c,NonIsland,match,Weak,d,Good educators are a blessing.,There was a teacher who a mom said that the children liked her a lot with no reservation.
39,r39,b,Island,mismatch,Weak,d,Banks are very careful about giving out loans.,There was a partner who a businessman asked whether the associates trusted her completely without doubt.
40,r40,a,Island,match,Weak,d,Good help is hard to find.,There was an employee who a workman speculated whether the company hired him directly from the agency.
41,f41,f,filler,filler,good,d,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
42,f42,f,filler,filler,weird,d,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
43,f43,f,filler,filler,good,d,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
44,f44,f,filler,filler,weird,d,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
45,f45,f,filler,filler,good,d,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
46,f46,f,filler,filler,weird,d,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
47,f47,f,filler,filler,good,d,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
48,f48,f,filler,filler,weird,d,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
49,f49,f,filler,filler,good,d,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
50,f50,f,filler,filler,weird,d,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
51,f51,f,filler,filler,good,d,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
52,f52,f,filler,filler,good,d,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
53,f53,f,filler,filler,good,d,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
54,f54,f,filler,filler,good,d,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
55,f55,f,filler,filler,good,d,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
56,f56,f,filler,filler,gardenpath,d,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
57,f57,f,filler,filler,gardenpath,d,The car race was very exciting.,The expensive car sped around the track broke down after the race.
58,f58,f,filler,filler,gardenpath,d,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
59,f59,f,filler,filler,gardenpath,d,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
60,f60,f,filler,filler,gardenpath,d,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
