Item,item2,Condition,Factor1,Factor2,Factor3,GroupL,Context,TargetSentence
42,f42,f,filler,filler,weird,b,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
43,f43,f,filler,filler,good,b,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
44,f44,f,filler,filler,weird,b,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
45,f45,f,filler,filler,good,b,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
46,f46,f,filler,filler,weird,b,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
47,f47,f,filler,filler,good,b,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
48,f48,f,filler,filler,weird,b,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
49,f49,f,filler,filler,good,b,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
50,f50,f,filler,filler,weird,b,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
51,f51,f,filler,filler,good,b,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
52,f52,f,filler,filler,good,b,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
53,f53,f,filler,filler,good,b,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
54,f54,f,filler,filler,good,b,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
55,f55,f,filler,filler,good,b,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
56,f56,f,filler,filler,gardenpath,b,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
57,f57,f,filler,filler,gardenpath,b,The car race was very exciting.,The expensive car sped around the track broke down after the race.
58,f58,f,filler,filler,gardenpath,b,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
59,f59,f,filler,filler,gardenpath,b,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
60,f60,f,filler,filler,gardenpath,b,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
