Group,Item,item2,Condition,Factor1,Factor2,Factor3,Context,TargetSentence
c,7,t7,a,Def.plural,Def.plural,Def.plural,A big group of cyclists decided to go for a ride despite the poor weather.,The cyclists thought that they were the only one who liked the pouring rain.
d,7,t7,b,All,All,All,A big group of cyclists decided to go for a ride despite the poor weather.,All the cyclists thought that they were the only one who liked the pouring rain.
a,7,t7,c,Every,Every,Every,A big group of cyclists decided to go for a ride despite the poor weather.,Every cyclist thought that they were the only one who liked the pouring rain. 
b,7,t7,d,Each,Each,Each,A big group of cyclists decided to go for a ride despite the poor weather.,Each cyclist thought that they were the only one who liked the pouring rain. 
d,8,t8,a,Def.plural,Def.plural,Def.plural,A group of baristas were competing in the final of the World Barista Championship.,The baristas thought that they were the only one who made good latte art.
a,8,t8,b,All,All,All,A group of baristas were competing in the final of the World Barista Championship.,All the baristas thought that they were the only one who made good latte art.
b,8,t8,c,Every,Every,Every,A group of baristas were competing in the final of the World Barista Championship.,Every barista thought that they were the only one who made good latte art.
c,8,t8,d,Each,Each,Each,A group of baristas were competing in the final of the World Barista Championship.,Each barista thought that they were the only one who made good latte art.
a,9,t9,a,Def.plural,Def.plural,Def.plural,A bunch of kids made it to the TV showing of the national Spelling Bee.,The kids thought that they were the only one who could spell the hardest word.
b,9,t9,b,All,All,All,A bunch of kids made it to the TV showing of the national Spelling Bee.,All the kids thought that they were the only one who could spell the hardest word.
c,9,t9,c,Every,Every,Every,A bunch of kids made it to the TV showing of the national Spelling Bee.,Every kid thought that they were the only one who could spell the hardest word.
d,9,t9,d,Each,Each,Each,A bunch of kids made it to the TV showing of the national Spelling Bee.,Each kid thought that they were the only one who could spell the hardest word.
b,10,t10,a,Def.plural,Def.plural,Def.plural,A group of interns had applied for one permanent position at the company.,The interns expected that they were the only one who would get the job offer.
c,10,t10,b,All,All,All,A group of interns had applied for one permanent position at the company.,All the interns expected that they were the only one who would get the job offer.
d,10,t10,c,Every,Every,Every,A group of interns had applied for one permanent position at the company.,Every intern expected that they were the only one who would get the job offer.
a,10,t10,d,Each,Each,Each,A group of interns had applied for one permanent position at the company.,Each intern expected that they were the only one who would get the job offer.
c,11,t11,a,Def.plural,Def.plural,Def.plural,A group of workers volunteered to work during the Thanksgiving holiday.,The workers thought that they were the only one who would want that shift.
d,11,t11,b,All,All,All,A group of workers volunteered to work during the Thanksgiving holiday.,All the workers thought that they were the only one who would want that shift.
a,11,t11,c,Every,Every,Every,A group of workers volunteered to work during the Thanksgiving holiday.,Every worker thought that they were the only one who would want that shift.
b,11,t11,d,Each,Each,Each,A group of workers volunteered to work during the Thanksgiving holiday.,Each worker thought that they were the only one who would want that shift.
d,12,t12,a,Def.plural,Def.plural,Def.plural,A group of salespeople were competing to win the employee of the year award.,The salespeople hoped that they were the only one who could win the award.
a,12,t12,b,All,All,All,A group of salespeople were competing to win the employee of the year award.,All the salespeople hoped that they were the only one who could win the award.
b,12,t12,c,Every,Every,Every,A group of salespeople were competing to win the employee of the year award.,Every salesperson hoped that they were the only one who could win the award.
c,12,t12,d,Each,Each,Each,A group of salespeople were competing to win the employee of the year award.,Each salesperson hoped that they were the only one who could win the award.
a,13,t13,a,Def.plural,Def.plural,Def.plural,A group of commuters were waiting on the train platform at rush hour.,The commuters thought that they were the only one who would get a seat.
b,13,t13,b,All,All,All,A group of commuters were waiting on the train platform at rush hour.,All the commuters thought that they were the only one who would get a seat.
c,13,t13,c,Every,Every,Every,A group of commuters were waiting on the train platform at rush hour.,Every commuter thought that they were the only one who would get a seat.
d,13,t13,d,Each,Each,Each,A group of commuters were waiting on the train platform at rush hour.,Each commuter thought that they were the only one who would get a seat.
b,14,t14,a,Def.plural,Def.plural,Def.plural,A bunch of spectators turned out early to see the parade through the city.,The spectators thought that they were the only one who had a good view.
c,14,t14,b,All,All,All,A bunch of spectators turned out early to see the parade through the city.,All the spectators thought that they were the only one who had a good view.
d,14,t14,c,Every,Every,Every,A bunch of spectators turned out early to see the parade through the city.,Every spectator thought that they were the only one who had a good view.
a,14,t14,d,Each,Each,Each,A bunch of spectators turned out early to see the parade through the city.,Each spectator thought that they were the only one who had a good view.
c,15,t15,a,Def.plural,Def.plural,Def.plural,"At the park, a group of neighbors met to compare gardening plans for next year.",The neighbors thought that they were the only one who would plant tulips.
d,15,t15,b,All,All,All,"At the park, a group of neighbors met to compare gardening plans for next year.",All the neighbors thought that they were the only one who would plant tulips.
a,15,t15,c,Every,Every,Every,"At the park, a group of neighbors met to compare gardening plans for next year.",Every neighbor thought that they were the only one who would plant tulips.
b,15,t15,d,Each,Each,Each,"At the park, a group of neighbors met to compare gardening plans for next year.",Each neighbor thought that they were the only one who would plant tulips.
d,16,t16,a,Def.plural,Def.plural,Def.plural,A group of customers rushed to get an exclusive discount on a product.,The customers thought that they were the only one who would get a discount.
a,16,t16,b,All,All,All,A group of customers rushed to get an exclusive discount on a product.,All the customers thought that they were the only one who would get a discount.
b,16,t16,c,Every,Every,Every,A group of customers rushed to get an exclusive discount on a product.,Every customer thought that they were the only one who would get a discount.
c,16,t16,d,Each,Each,Each,A group of customers rushed to get an exclusive discount on a product.,Each customer thought that they were the only one who would get a discount.
a,17,t17,a,Def.plural,Def.plural,Def.plural,A group of managers competed to get a raise for having the best performance.,The managers thought that they were the only one who would get a raise.
b,17,t17,b,All,All,All,A group of managers competed to get a raise for having the best performance.,All the managers thought that they were the only one who would get a raise.
c,17,t17,c,Every,Every,Every,A group of managers competed to get a raise for having the best performance.,Every manager thought that they were the only one who would get a raise.
d,17,t17,d,Each,Each,Each,A group of managers competed to get a raise for having the best performance.,Each manager thought that they were the only one who would get a raise.
b,18,t18,a,Def.plural,Def.plural,Def.plural,A group of performers sang for a live audience to win a prize.,The performers thought that they were the only one who would get a prize.
c,18,t18,b,All,All,All,A group of performers sang for a live audience to win a prize.,All the performers thought that they were the only one who would get a prize.
d,18,t18,c,Every,Every,Every,A group of performers sang for a live audience to win a prize.,Every performer thought that they were the only one who would get a prize.
a,18,t18,d,Each,Each,Each,A group of performers sang for a live audience to win a prize.,Each performer thought that they were the only one who would get a prize.
c,19,t19,a,Def.plural,Def.plural,Def.plural,"At a family reunion, a group of cousins were competing in a sack race.",The cousins thought that they were the only one who would win the race.
d,19,t19,b,All,All,All,"At a family reunion, a group of cousins were competing in a sack race.",All the cousins thought that they were the only one who would win the race.
a,19,t19,c,Every,Every,Every,"At a family reunion, a group of cousins were competing in a sack race.",Every cousin thought that they were the only one who would win the race.
b,19,t19,d,Each,Each,Each,"At a family reunion, a group of cousins were competing in a sack race.",Each cousin thought that they were the only one who would win the race.
d,20,t20,a,Def.plural,Def.plural,Def.plural,A group of fans had bet on different teams to win the championship.,The fans thought that they were the only one who had chosen the winning team.
a,20,t20,b,All,All,All,A group of fans had bet on different teams to win the championship.,All the fans thought that they were the only one who had chosen the winning team.
b,20,t20,c,Every,Every,Every,A group of fans had bet on different teams to win the championship.,Every fan thought that they were the only one who had chosen the winning team.
c,20,t20,d,Each,Each,Each,A group of fans had bet on different teams to win the championship.,Each fan thought that they were the only one who had chosen the winning team.
a,21,t21,a,Def.plural,Def.plural,Def.plural,A group of directors had submitted short films to the local festival.,The directors expected that they were the only one who would be featured on opening night.
b,21,t21,b,All,All,All,A group of directors had submitted short films to the local festival.,All the directors expected that they were the only one who would be featured on opening night.
c,21,t21,c,Every,Every,Every,A group of directors had submitted short films to the local festival.,Every director expected that they were the only one who would be featured on opening night.
d,21,t21,d,Each,Each,Each,A group of directors had submitted short films to the local festival.,Each director expected that they were the only one who would be featured on opening night.
b,22,t22,a,Def.plural,Def.plural,Def.plural,"At a conference, a group of mathematicians were arguing about the solution to a problem.",The mathematicians said that they were the only one who had the correct solution.
c,22,t22,b,All,All,All,"At a conference, a group of mathematicians were arguing about the solution to a problem.",All the mathematicians said that they were the only one who had the correct solution.
d,22,t22,c,Every,Every,Every,"At a conference, a group of mathematicians were arguing about the solution to a problem.",Every mathematician said that they were the only one who had the correct solution.
a,22,t22,d,Each,Each,Each,"At a conference, a group of mathematicians were arguing about the solution to a problem.",Each mathematician said that they were the only one who had the correct solution.
c,23,t23,a,Def.plural,Def.plural,Def.plural,A bunch of musicians were having a disagreement about who was in tune.,The musicians said that they were the only one who was in tune.
d,23,t23,b,All,All,All,A bunch of musicians were having a disagreement about who was in tune.,All the musicians said that they were the only one who was in tune.
a,23,t23,c,Every,Every,Every,A bunch of musicians were having a disagreement about who was in tune.,Every musician said that they were the only one who was in tune.
b,23,t23,d,Each,Each,Each,A bunch of musicians were having a disagreement about who was in tune.,Each musician said that they were the only one who was in tune.
d,24,t24,a,Def.plural,Def.plural,Def.plural,A group of journalists were comparing sources used in the past month.,The journalists thought that they were the only one who had a reliable source.
a,24,t24,b,All,All,All,A group of journalists were comparing sources used in the past month.,All the journalists thought that they were the only one who had a reliable source.
b,24,t24,c,Every,Every,Every,A group of journalists were comparing sources used in the past month.,Every journalist thought that they were the only one who had a reliable source.
c,24,t24,d,Each,Each,Each,A group of journalists were comparing sources used in the past month.,Each journalist thought that they were the only one who had a reliable source.
a,25,r25,a,Island,match,Strong,There was a commotion at the police station.,There was a policeman who a civilian was glad because the city council acknowledged him last week.
b,25,r25,b,Island,mismatch,Strong,There was a commotion at the police station.,There was a policeman who a civilian was glad because the city council acknowledged her last week.
c,25,r25,c,NonIsland,match,Strong,There was a commotion at the police station.,There was a policeman who a civilian said that the city council acknowledged him last week.
d,25,r25,d,NonIsland,mismatch,Strong,There was a commotion at the police station.,There was a policeman who a civilian said that the city council acknowledged her last week.
b,26,r26,a,Island,match,Strong,Getting ready for a new baby is stressful.,There was a midwife who a parent was concerned because the clinic fired her unexpectedly.
c,26,r26,b,Island,mismatch,Strong,Getting ready for a new baby is stressful.,There was a midwife who a parent was concerned because the clinic fired him unexpectedly.
d,26,r26,c,NonIsland,match,Strong,Getting ready for a new baby is stressful.,There was a midwife who a parent believed that the clinic fired her unexpectedly.
a,26,r26,d,NonIsland,mismatch,Strong,Getting ready for a new baby is stressful.,There was a midwife who a parent believed that the clinic fired him unexpectedly.
c,27,r27,a,Island,match,Strong,People like to gossip about royalty.,There was a prince who a guest of honor was enraged because the servants mocked him at the party.
d,27,r27,b,Island,mismatch,Strong,People like to gossip about royalty.,There was a prince who a guest of honor was enraged because the servants mocked her at the party.
a,27,r27,c,NonIsland,match,Strong,People like to gossip about royalty.,There was a prince who a guest of honor insisted that the servants mocked him at the party.
b,27,r27,d,NonIsland,mismatch,Strong,People like to gossip about royalty.,There was a prince who a guest of honor insisted that the servants mocked her at the party.
d,28,r28,a,Island,match,Strong,There was a lot of drama at the theater.,There was a ballerina who an audience member was angry because the choreographers humiliated her during the performance.
a,28,r28,b,Island,mismatch,Strong,There was a lot of drama at the theater.,There was a ballerina who an audience member was angry because the choreographers humiliated him during the performance.
b,28,r28,c,NonIsland,match,Strong,There was a lot of drama at the theater.,There was a ballerina who an audience member said that the choreographers humiliated her during the performance.
c,28,r28,d,NonIsland,mismatch,Strong,There was a lot of drama at the theater.,There was a ballerina who an audience member said that the choreographers humiliated him during the performance.
a,29,r29,a,Island,match,Weak,The wedding party seemed to be upset.,There was a bridesmaid who an assistant wondered whether the florists embarrassed her before the wedding.
b,29,r29,b,Island,mismatch,Weak,The wedding party seemed to be upset.,There was a bridesmaid who an assistant wondered whether the florists embarrassed him before the wedding.
c,29,r29,c,NonIsland,match,Weak,The wedding party seemed to be upset.,There was a bridesmaid who an assistant believed that the florists embarrassed her before the wedding.
d,29,r29,d,NonIsland,mismatch,Weak,The wedding party seemed to be upset.,There was a bridesmaid who an assistant believed that the florists embarrassed him before the wedding.
b,30,r30,a,Island,match,Weak,Weddings can put people under a lot of stress.,There was an usher who a friend asked whether the groomsmen insulted him at the altar.
c,30,r30,b,Island,mismatch,Weak,Weddings can put people under a lot of stress.,There was an usher who a friend asked whether the groomsmen insulted her at the altar.
d,30,r30,c,NonIsland,match,Weak,Weddings can put people under a lot of stress.,There was an usher who a friend believed that the groomsmen insulted him at the altar.
a,30,r30,d,NonIsland,mismatch,Weak,Weddings can put people under a lot of stress.,There was an usher who a friend believed that the groomsmen insulted her at the altar. 
c,31,r31,a,Island,match,Weak,Children can get bored at weddings.,There was a flower girl who a grandparent inquired whether the caretakers entertained her during the reception. 
d,31,r31,b,Island,mismatch,Weak,Children can get bored at weddings.,There was a flower girl who a grandparent inquired whether the caretakers entertained him during the reception. 
a,31,r31,c,NonIsland,match,Weak,Children can get bored at weddings.,There was a flower girl who a grandparent believed that the caretakers entertained her during the reception. 
b,31,r31,d,NonIsland,mismatch,Weak,Children can get bored at weddings.,There was a flower girl who a grandparent believed that the caretakers entertained him during the reception.
d,32,r32,a,Island,match,Weak,There was an incident at the campsite.,There was a boy scout who a camper speculated whether the troop leader disciplined him for no reason.
a,32,r32,b,Island,mismatch,Weak,There was an incident at the campsite.,There was a boy scout who a camper speculated whether the troop leader disciplined her for no reason.
b,32,r32,c,NonIsland,match,Weak,There was an incident at the campsite.,There was a boy scout who a camper thought that the troop leader disciplined him for no reason.
c,32,r32,d,NonIsland,mismatch,Weak,There was an incident at the campsite.,There was a boy scout who a camper thought that the troop leader disciplined her for no reason.
a,33,r33,a,Island,match,Strong,A brilliant resume can pay off.,There was a salesman who an intern was amazed because the managers hired him without an interview.
b,33,r33,b,Island,mismatch,Strong,A brilliant resume can pay off.,There was a salesman who an intern was amazed because the managers hired her without an interview.
c,33,r33,c,NonIsland,match,Strong,A brilliant resume can pay off.,There was a salesman who an intern thought that the managers hired him without an interview.
d,33,r33,d,NonIsland,mismatch,Strong,A brilliant resume can pay off.,There was a salesman who an intern thought that the managers hired her without an interview.
b,34,r34,a,Island,match,Strong,Speed traps are becoming common in the city.,There was a woman who a driver was surprised because the police arrested her for speeding.
c,34,r34,b,Island,mismatch,Strong,Speed traps are becoming common in the city.,There was a woman who a driver was surprised because the police arrested him for speeding.
d,34,r34,c,NonIsland,match,Strong,Speed traps are becoming common in the city.,There was a woman who a driver believed that the police arrested her for speeding.
a,34,r34,d,NonIsland,mismatch,Strong,Speed traps are becoming common in the city.,There was a woman who a driver believed that the police arrested him for speeding.
c,35,r35,a,Island,match,Strong,Working at a restaurant can be nerve-wracking.,There was a waitress who a colleague was distressed because the cooks criticized her for no reason.
d,35,r35,b,Island,mismatch,Strong,Working at a restaurant can be nerve-wracking.,There was a waitress who a colleague was distressed because the cooks criticized him for no reason.
a,35,r35,c,NonIsland,match,Strong,Working at a restaurant can be nerve-wracking.,There was a waitress who a colleague said that the cooks criticized her for no reason.
b,35,r35,d,NonIsland,mismatch,Strong,Working at a restaurant can be nerve-wracking.,There was a waitress who a colleague said that the cooks criticized him for no reason.
d,36,r36,a,Island,match,Strong,Working at a hotel is not fun.,There was a hostess who a server was upset because the customers harassed her last week.
a,36,r36,b,Island,mismatch,Strong,Working at a hotel is not fun.,There was a hostess who a server was upset because the customers harassed him last week.
b,36,r36,c,NonIsland,match,Strong,Working at a hotel is not fun.,There was a hostess who a server heard that the customers harassed her last week.
c,36,r36,d,NonIsland,mismatch,Strong,Working at a hotel is not fun.,There was a hostess who a server heard that the customers harassed him last week.
a,37,r37,a,Island,match,Weak,Show business is tough.,There was an actress who an agent wondered whether the producers despised her vehemently.
b,37,r37,b,Island,mismatch,Weak,Show business is tough.,There was an actress who an agent wondered whether the producers despised him vehemently.
c,37,r37,c,NonIsland,match,Weak,Show business is tough.,There was an actress who an agent thought that the producers despised her vehemently.
d,37,r37,d,NonIsland,mismatch,Weak,Show business is tough.,There was an actress who an agent thought that the producers despised him vehemently.
b,38,r38,a,Island,match,Weak,Good parent volunteers are hard to find.,There was a mother who a teacher inquired whether the children liked her a lot.
c,38,r38,b,Island,mismatch,Weak,Good parent volunteers are hard to find.,There was a mother who a teacher inquired whether the children liked him a lot.
d,38,r38,c,NonIsland,match,Weak,Good parent volunteers are hard to find.,There was a mother who a teacher said that the children liked her a lot.
a,38,r38,d,NonIsland,mismatch,Weak,Good parent volunteers are hard to find.,There was a mother who a teacher said that the children liked him a lot.
c,39,r39,a,Island,match,Weak,Banks are very careful about giving out loans.,There was a businessman who a banker asked whether the associates trusted him completely.
d,39,r39,b,Island,mismatch,Weak,Banks are very careful about giving out loans.,There was a businessman who a banker asked whether the associates trusted her completely.
a,39,r39,c,NonIsland,match,Weak,Banks are very careful about giving out loans.,There was a businessman who a banker thought that the associates trusted him completely.
b,39,r39,d,NonIsland,mismatch,Weak,Banks are very careful about giving out loans.,There was a businessman who a banker thought that the associates trusted her completely.
d,40,r40,a,Island,match,Weak,Good help is hard to find.,There was a handyman who an employee speculated whether the company hired him from the agency.
a,40,r40,b,Island,mismatch,Weak,Good help is hard to find.,There was a handyman who an employee speculated whether the company hired her from the agency.
b,40,r40,c,NonIsland,match,Weak,Good help is hard to find.,There was a handyman who an employee said that the company hired him from the agency.
c,40,r40,d,NonIsland,mismatch,Weak,Good help is hard to find.,There was a handyman who an employee said that the company hired her from the agency.
a,41,r41,a,Island,match,Strong,Flying with a baby is tough.,There was a father who a flight attendant was worried because a crying baby distressed him tremendously during the descent.
b,41,r41,b,Island,mismatch,Strong,Flying with a baby is tough.,There was a father who a flight attendant was worried because a crying baby distressed her tremendously during the descent.
c,41,r41,c,NonIsland,match,Strong,Flying with a baby is tough.,There was a father who a flight attendant thought that a crying baby distressed him tremendously during the descent.
d,41,r41,d,NonIsland,mismatch,Strong,Flying with a baby is tough.,There was a father who a flight attendant thought that a crying baby distressed her tremendously during the descent.
b,42,r42,a,Island,match,Weak,Universites are recruiting high school athletes.,There was a quarterback who a sibling wondered whether a recruiter contacted him recently about a university scholarship.
c,42,r42,b,Island,mismatch,Weak,Universites are recruiting high school athletes.,There was a quarterback who a sibling wondered whether a recruiter contacted her recently about a university scholarship.
d,42,r42,c,NonIsland,match,Weak,Universites are recruiting high school athletes.,There was a quarterback who a sibling believed that a recruiter contacted him recently about a university scholarship.
a,42,r42,d,NonIsland,mismatch,Weak,Universites are recruiting high school athletes.,There was a quarterback who a sibling believed that a recruiter contacted her recently about a university scholarship.
c,43,r43,a,Island,match,Strong,Crime rates are high in this neighborhood.,There was a gunman who an elder was wary because the police chased him dangerously down the busy street.
d,43,r43,b,Island,mismatch,Strong,Crime rates are high in this neighborhood.,There was a gunman who an elder was wary because the police chased her dangerously down the busy street.
a,43,r43,c,NonIsland,match,Strong,Crime rates are high in this neighborhood.,There was a gunman who an elder said that the police chased him dangerously down the busy street.
b,43,r43,d,NonIsland,mismatch,Strong,Crime rates are high in this neighborhood.,There was a gunman who an elder said that the police chased her dangerously down the busy street.
d,44,r44,a,Island,match,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a landlady who a neighbor asked whether the investor called her this week about a development project.
a,44,r44,b,Island,mismatch,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a landlady who a neighbor asked whether the investor called him this week about a development project.
b,44,r44,c,NonIsland,match,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a landlady who a neighbor thought that the investor called her this week about a development project.
c,44,r44,d,NonIsland,mismatch,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a landlady who a neighbor thought that the investor called him this week about a development project.
a,45,r45,a,Island,match,Strong,There are questions about what's going on at the local church.,There was a priest who a churchgoer was upset because a whistleblower wrote him secretly about a scandal.
b,45,r45,b,Island,mismatch,Strong,There are questions about what's going on at the local church.,There was a priest who a churchgoer was upset because a whistleblower wrote her secretly about a scandal.
c,45,r45,c,NonIsland,match,Strong,There are questions about what's going on at the local church.,There was a priest who a churchgoer believed that a whistleblower wrote him secretly about a scandal.
d,45,r45,d,NonIsland,mismatch,Strong,There are questions about what's going on at the local church.,There was a priest who a churchgoer believed that a whistleblower wrote her secretly about a scandal.
b,46,r46,a,Island,match,Weak,Getting meals at school is important for lots of kids.,There was a lunchlady who a principal wondered whether the students appreciated her for the extra cookies.
c,46,r46,b,Island,mismatch,Weak,Getting meals at school is important for lots of kids.,There was a lunchlady who a principal wondered whether the students appreciated him for the extra cookies.
d,46,r46,c,NonIsland,match,Weak,Getting meals at school is important for lots of kids.,There was a lunchlady who a principal said that the students appreciated her for the extra cookies.
a,46,r46,d,NonIsland,mismatch,Weak,Getting meals at school is important for lots of kids.,There was a lunchlady who a principal said that the students appreciated him for the extra cookies.
c,47,r47,a,Island,match,Strong,The movie industry can be unforgiving.,There was a stuntman who a stagehand was distracted because the actors criticized him unjustly on the set.
d,47,r47,b,Island,mismatch,Strong,The movie industry can be unforgiving.,There was a stuntman who a stagehand was distracted because the actors criticized her unjustly on the set.
a,47,r47,c,NonIsland,match,Strong,The movie industry can be unforgiving.,There was a stuntman who a stagehand believed that the actors criticized him unjustly on the set.
b,47,r47,d,NonIsland,mismatch,Strong,The movie industry can be unforgiving.,There was a stuntman who a stagehand believed that the actors criticized her unjustly on the set.
d,48,r48,a,Island,match,Weak,It's hard to be successful in politics without allies.,There was a congresswoman who a judge wondered whether the senate members accepted her with open arms.
a,48,r48,b,Island,mismatch,Weak,It's hard to be successful in politics without allies.,There was a congresswoman who a judge wondered whether the senate members accepted him with open arms.
b,48,r48,c,NonIsland,match,Weak,It's hard to be successful in politics without allies.,There was a congresswoman who a judge thought that the senate members accepted her with open arms.
c,48,r48,d,NonIsland,mismatch,Weak,It's hard to be successful in politics without allies.,There was a congresswoman who a judge thought that the senate members accepted him with open arms.
a,49,r49,a,Island,match,Strong,Some people can't take a joke.,There was a king who a servant consoled because the guests mocked him ruthlessly at dinner.
b,49,r49,b,Island,mismatch,Strong,Some people can't take a joke.,There was a king who a servant consoled because the guests mocked her ruthlessly at dinner.
c,49,r49,c,NonIsland,match,Strong,Some people can't take a joke.,There was a king who a servant recalled that the guests mocked him ruthlessly at dinner.
d,49,r49,d,NonIsland,mismatch,Strong,Some people can't take a joke.,There was a king who a servant recalled that the guests mocked her ruthlessly at dinner.
b,50,r50,a,Island,match,Weak,There were several people at a dangerous intersection.,There was a grandmother who a pedestrian wondered whether car drivers saw her clearly on the sidewalk.
c,50,r50,b,Island,mismatch,Weak,There were several people at a dangerous intersection.,There was a grandmother who a pedestrian wondered whether car drivers saw him clearly on the sidewalk.
d,50,r50,c,NonIsland,match,Weak,There were several people at a dangerous intersection.,There was a grandmother who a pedestrian hoped that car drivers saw her clearly on the sidewalk.
a,50,r50,d,NonIsland,mismatch,Weak,There were several people at a dangerous intersection.,There was a grandmother who a pedestrian hoped that car drivers saw him clearly on the sidewalk.
c,51,r51,a,Island,match,Strong,The crowd was getting unruly at the football game.,There was a boy who a spectator was mad because security asked him suddenly to leave.
d,51,r51,b,Island,mismatch,Strong,The crowd was getting unruly at the football game.,There was a boy who a spectator was mad because security asked her suddenly to leave.
a,51,r51,c,NonIsland,match,Strong,The crowd was getting unruly at the football game.,There was a boy who a spectator heard that security asked him suddenly to leave.
b,51,r51,d,NonIsland,mismatch,Strong,The crowd was getting unruly at the football game.,There was a boy who a spectator heard that security asked her suddenly to leave.
d,52,r52,a,Island,match,Weak,The high school baseball championship was coming to an end.,There was a baseman who a family member wondered whether a college offered him a full scholarship for next year.
a,52,r52,b,Island,mismatch,Weak,The high school baseball championship was coming to an end.,There was a baseman who a family member wondered whether a college offered her a full scholarship for next year.
b,52,r52,c,NonIsland,match,Weak,The high school baseball championship was coming to an end.,There was a baseman who a family member hoped that a college offered him a full scholarship for next year.
c,52,r52,d,NonIsland,mismatch,Weak,The high school baseball championship was coming to an end.,There was a baseman who a family member hoped that a college offered her a full scholarship for next year.
a,53,r53,a,Island,match,Strong,There was a new case the department was investigating.,There was a young man who a journalist was impressed because the city thanked him publicly for cracking the case.
b,53,r53,b,Island,mismatch,Strong,There was a new case the department was investigating.,There was a young man who a journalist was impressed because the city thanked her publicly for cracking the case.
c,53,r53,c,NonIsland,match,Strong,There was a new case the department was investigating.,There was a young man who a journalist said that the city thanked him publicly for cracking the case.
d,53,r53,d,NonIsland,mismatch,Strong,There was a new case the department was investigating.,There was a young man who a journalist said that the city thanked her publicly for cracking the case.
b,54,r54,a,Island,match,Strong,A big dinner was held for everyone at the palace.,There was a nobleman who an attendant was amused because the jokes entertained him spectactularly at the dinner. 
c,54,r54,b,Island,mismatch,Strong,A big dinner was held for everyone at the palace.,There was a nobleman who an attendant was amused because the jokes entertained her spectactularly at the dinner. 
d,54,r54,c,NonIsland,match,Strong,A big dinner was held for everyone at the palace.,There was a nobleman who an attendant believed that the jokes entertained him spectactularly at the dinner. 
