Group,Item,item2,Condition,Factor1,Factor2,Factor3,Context,TargetSentence
c,9,t9,c,Every,Every,Every,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,Every schoolboy thought that they were the only one who could spell the hardest word.
d,9,t9,d,Each,Each,Each,A bunch of schoolboys made it to the TV showing of the national Spelling Bee.,Each schoolboy thought that they were the only one who could spell the hardest word.
b,10,t10,a,Def.plural,Def.plural,Def.plural,A group of handymen had applied for one permanent position at the new shop.,The handymen expected that they were the only one who would get the job offer.
c,10,t10,b,All,All,All,A group of handymen had applied for one permanent position at the new shop.,All the handymen expected that they were the only one who would get the job offer.
d,10,t10,c,Every,Every,Every,A group of handymen had applied for one permanent position at the new shop.,Every handyman expected that they were the only one who would get the job offer.
a,10,t10,d,Each,Each,Each,A group of handymen had applied for one permanent position at the new shop.,Each handyman expected that they were the only one who would get the job offer.
c,11,t11,a,Def.plural,Def.plural,Def.plural,A group of workmen offered to work during the Thanksgiving holiday.,The workmen thought that they were the only one who would want that shift.
d,11,t11,b,All,All,All,A group of workmen offered to work during the Thanksgiving holiday.,All the workmen thought that they were the only one who would want that shift.
a,11,t11,c,Every,Every,Every,A group of workmen offered to work during the Thanksgiving holiday.,Every workman thought that they were the only one who would want that shift.
b,11,t11,d,Each,Each,Each,A group of workmen offered to work during the Thanksgiving holiday.,Each workman thought that they were the only one who would want that shift.
d,12,t12,a,Def.plural,Def.plural,Def.plural,A group of salesmen were competing to win the employee of the year award.,The salesmen hoped that they were the only one who could win the award.
a,12,t12,b,All,All,All,A group of salesmen were competing to win the employee of the year award.,All the salesmen hoped that they were the only one who could win the award.
b,12,t12,c,Every,Every,Every,A group of salesmen were competing to win the employee of the year award.,Every salesman hoped that they were the only one who could win the award.
c,12,t12,d,Each,Each,Each,A group of salesmen were competing to win the employee of the year award.,Each salesman hoped that they were the only one who could win the award.
a,13,t13,a,Def.plural,Def.plural,Def.plural,A group of businessmen were waiting on the train platform at rush hour.,The businessmen thought that they were the only one who would get a seat.
b,13,t13,b,All,All,All,A group of businessmen were waiting on the train platform at rush hour.,All the businessmen thought that they were the only one who would get a seat.
c,13,t13,c,Every,Every,Every,A group of businessmen were waiting on the train platform at rush hour.,Every businessman thought that they were the only one who would get a seat.
d,13,t13,d,Each,Each,Each,A group of businessmen were waiting on the train platform at rush hour.,Each businessman thought that they were the only one who would get a seat.
b,14,t14,a,Def.plural,Def.plural,Def.plural,A bunch of husbands turned out early to save spots to view the parade through the city.,The husbands thought that they were the only one who had a good view.
c,14,t14,b,All,All,All,A bunch of husbands turned out early to save spots to view the parade through the city.,All the husbands thought that they were the only one who had a good view.
d,14,t14,c,Every,Every,Every,A bunch of husbands turned out early to save spots to view the parade through the city.,Every husband thought that they were the only one who had a good view.
a,14,t14,d,Each,Each,Each,A bunch of husbands turned out early to save spots to view the parade through the city.,Each husband thought that they were the only one who had a good view.
c,15,t15,a,Def.plural,Def.plural,Def.plural,A group of grandfathers met at the park to compare gardening plans for next year.,The grandfathers thought that they were the only one who would plant tulips.
d,15,t15,b,All,All,All,A group of grandfathers met at the park to compare gardening plans for next year.,All the grandfathers thought that they were the only one who would plant tulips.
a,15,t15,c,Every,Every,Every,A group of grandfathers met at the park to compare gardening plans for next year.,Every grandfather thought that they were the only one who would plant tulips.
b,15,t15,d,Each,Each,Each,A group of grandfathers met at the park to compare gardening plans for next year.,Each grandfather thought that they were the only one who would plant tulips.
d,16,t16,a,Def.plural,Def.plural,Def.plural,A group of young brothers rushed to get an exclusive discount on a new video game.,The brothers thought that they were the only one who would get the game.
a,16,t16,b,All,All,All,A group of young brothers rushed to get an exclusive discount on a new video game.,All the brothers thought that they were the only one who would get the game.
b,16,t16,c,Every,Every,Every,A group of young brothers rushed to get an exclusive discount on a new video game.,Every brother thought that they were the only one who would get the game.
c,16,t16,d,Each,Each,Each,A group of young brothers rushed to get an exclusive discount on a new video game.,Each brother thought that they were the only one who would get the game.
a,17,t17,a,Def.plural,Def.plural,Def.plural,A bunch of sons were hoping to take over the family autoshop.,The sons thought that they were the only one who would be the next shop owner.
b,17,t17,b,All,All,All,A bunch of sons were hoping to take over the family autoshop.,All the sons thought that they were the only one who would be the next shop owner.
c,17,t17,c,Every,Every,Every,A bunch of sons were hoping to take over the family autoshop.,Every son thought that they were the only one who would be the next shop owner.
d,17,t17,d,Each,Each,Each,A bunch of sons were hoping to take over the family autoshop.,Each son thought that they were the only one who would be the next shop owner.
b,18,t18,a,Def.plural,Def.plural,Def.plural,A group of baritones sang for a live audience to win a prize.,The baritones thought that they were the only one who would get a prize.
c,18,t18,b,All,All,All,A group of baritones sang for a live audience to win a prize.,All the baritones thought that they were the only one who would get a prize.
d,18,t18,c,Every,Every,Every,A group of baritones sang for a live audience to win a prize.,Every baritone thought that they were the only one who would get a prize.
a,18,t18,d,Each,Each,Each,A group of baritones sang for a live audience to win a prize.,Each baritone thought that they were the only one who would get a prize.
c,19,t19,a,Def.plural,Def.plural,Def.plural,A group of uncles were competing in a sack race at a family reunion.,The uncles thought that they were the only one who would win the race.
d,19,t19,b,All,All,All,A group of uncles were competing in a sack race at a family reunion.,All the uncles thought that they were the only one who would win the race.
a,19,t19,c,Every,Every,Every,A group of uncles were competing in a sack race at a family reunion.,Every uncle thought that they were the only one who would win the race.
b,19,t19,d,Each,Each,Each,A group of uncles were competing in a sack race at a family reunion.,Each uncle thought that they were the only one who would win the race.
d,20,t20,a,Def.plural,Def.plural,Def.plural,A group of linesmen had bet on different teams to win the championship.,The linesmen thought that they were the only one who had chosen the winning team.
a,20,t20,b,All,All,All,A group of linesmen had bet on different teams to win the championship.,All the linesmen thought that they were the only one who had chosen the winning team.
b,20,t20,c,Every,Every,Every,A group of linesmen had bet on different teams to win the championship.,Every linesman thought that they were the only one who had chosen the winning team.
c,20,t20,d,Each,Each,Each,A group of linesmen had bet on different teams to win the championship.,Each linesman thought that they were the only one who had chosen the winning team.
a,21,t21,a,Def.plural,Def.plural,Def.plural,A group of cameramen had submitted short films to the local festival.,The cameramen expected that they were the only one who would be featured on opening night.
b,21,t21,b,All,All,All,A group of cameramen had submitted short films to the local festival.,All the cameramen expected that they were the only one who would be featured on opening night.
c,21,t21,c,Every,Every,Every,A group of cameramen had submitted short films to the local festival.,Every cameraman expected that they were the only one who would be featured on opening night.
d,21,t21,d,Each,Each,Each,A group of cameramen had submitted short films to the local festival.,Each cameraman expected that they were the only one who would be featured on opening night.
b,22,t22,a,Def.plural,Def.plural,Def.plural,A bunch of dukes were talking about their future inheritance.,The dukes hoped that they were the only one who would inherit a large tract of land.
c,22,t22,b,All,All,All,A bunch of dukes were talking about their future inheritance.,All the dukes hoped that they were the only one who would inherit a large tract of land.
d,22,t22,c,Every,Every,Every,A bunch of dukes were talking about their future inheritance.,Every duke hoped that they were the only one who would inherit a large tract of land.
a,22,t22,d,Each,Each,Each,A bunch of dukes were talking about their future inheritance.,Each duke hoped that they were the only one who would inherit a large tract of land.
c,23,t23,a,Def.plural,Def.plural,Def.plural,A group of weathermen were discussing the latest climate change research.,The weathermen believed that they were the only one who would understand the research.
d,23,t23,b,All,All,All,A group of weathermen were discussing the latest climate change research.,All the weathermen believed that they were the only one who would understand the research.
a,23,t23,c,Every,Every,Every,A group of weathermen were discussing the latest climate change research.,Every weatherman believed that they were the only one who would understand the research.
b,23,t23,d,Each,Each,Each,A group of weathermen were discussing the latest climate change research.,Each weatherman believed that they were the only one who would understand the research.
d,24,t24,a,Def.plural,Def.plural,Def.plural,A group of fishermen were comparing catches from the last summer.,The fishermen thought that they were the only one who was not exaggerating the size of the catch.
a,24,t24,b,All,All,All,A group of fishermen were comparing catches from the last summer.,All the fishermen thought that they were the only one who was not exaggerating the size of the catch.
b,24,t24,c,Every,Every,Every,A group of fishermen were comparing catches from the last summer.,Every fisherman thought that they were the only one who was not exaggerating the size of the catch.
c,24,t24,d,Each,Each,Each,A group of fishermen were comparing catches from the last summer.,Each fisherman thought that they were the only one who was not exaggerating the size of the catch.
a,25,r25,a,Island,match,Strong,There was a commotion at the police station.,There was an officer who a widower was glad because the city council acknowledged him rightfully last week.
b,25,r25,b,Island,mismatch,Strong,There was a commotion at the police station.,There was an officer who a widower was glad because the city council acknowledged her rightfully last week.
c,25,r25,c,NonIsland,match,Strong,There was a commotion at the police station.,There was an officer who a widower said that the city council acknowledged him rightfully last week.
d,25,r25,d,NonIsland,mismatch,Strong,There was a commotion at the police station.,There was an officer who a widower said that the city council acknowledged her rightfully last week.
b,26,r26,a,Island,match,Strong,Getting ready for a new baby is stressful.,There was a staff member who a mother was concerned because the clinic fired her unexpectedly this morning.
c,26,r26,b,Island,mismatch,Strong,Getting ready for a new baby is stressful.,There was a staff member who a mother was concerned because the clinic fired him unexpectedly this morning.
d,26,r26,c,NonIsland,match,Strong,Getting ready for a new baby is stressful.,There was a staff member who a mother believed that the clinic fired her unexpectedly this morning.
a,26,r26,d,NonIsland,mismatch,Strong,Getting ready for a new baby is stressful.,There was a staff member who a mother believed that the clinic fired him unexpectedly this morning.
c,27,r27,a,Island,match,Strong,People like to gossip about royal galas.,There was a guest who a prince was enraged because the servants mocked him relentlessly at the party.
d,27,r27,b,Island,mismatch,Strong,People like to gossip about royal galas.,There was a guest who a prince was enraged because the servants mocked her relentlessly at the party.
a,27,r27,c,NonIsland,match,Strong,People like to gossip about royal galas.,There was a guest who a prince insisted that the servants mocked him relentlessly at the party.
b,27,r27,d,NonIsland,mismatch,Strong,People like to gossip about royal galas.,There was a guest who a prince insisted that the servants mocked her relentlessly at the party.
d,28,r28,a,Island,match,Strong,There was a lot of drama at the theater.,There was an audience member who a ballerina was angry because the choreographers humiliated her mercilessly during the performance.
a,28,r28,b,Island,mismatch,Strong,There was a lot of drama at the theater.,There was an audience member who a ballerina was angry because the choreographers humiliated him mercilessly during the performance.
b,28,r28,c,NonIsland,match,Strong,There was a lot of drama at the theater.,There was an audience member who a ballerina said that the choreographers humiliated her mercilessly during the performance.
c,28,r28,d,NonIsland,mismatch,Strong,There was a lot of drama at the theater.,There was an audience member who a ballerina said that the choreographers humiliated him mercilessly during the performance.
a,29,r29,a,Island,match,Weak,The wedding party seemed to be upset.,There was an assistant who a bridesmaid wondered whether the florists embarrassed her needlessly before the wedding.
b,29,r29,b,Island,mismatch,Weak,The wedding party seemed to be upset.,There was an assistant who a bridesmaid wondered whether the florists embarrassed him needlessly before the wedding.
c,29,r29,c,NonIsland,match,Weak,The wedding party seemed to be upset.,There was an assistant who a bridesmaid believed that the florists embarrassed her needlessly before the wedding.
d,29,r29,d,NonIsland,mismatch,Weak,The wedding party seemed to be upset.,There was an assistant who a bridesmaid believed that the florists embarrassed him needlessly before the wedding.
b,30,r30,a,Island,match,Weak,Weddings can put people under a lot of stress.,There was a relative who an usher asked whether the groomsmen insulted him quietly at the altar.
c,30,r30,b,Island,mismatch,Weak,Weddings can put people under a lot of stress.,There was a relative who an usher asked whether the groomsmen insulted her quietly at the altar.
d,30,r30,c,NonIsland,match,Weak,Weddings can put people under a lot of stress.,There was a relative who an usher believed that the groomsmen insulted him quietly at the altar.
a,30,r30,d,NonIsland,mismatch,Weak,Weddings can put people under a lot of stress.,There was a relative who an usher believed that the groomsmen insulted her quietly at the altar.
c,31,r31,a,Island,match,Weak,Children can get bored at weddings.,There was a toddler who a grandmother inquired whether the caretakers entertained her easily during the reception.
d,31,r31,b,Island,mismatch,Weak,Children can get bored at weddings.,There was a toddler who a grandmother inquired whether the caretakers entertained him easily during the reception.
a,31,r31,c,NonIsland,match,Weak,Children can get bored at weddings.,There was a toddler who a grandmother believed that the caretakers entertained her easily during the reception.
b,31,r31,d,NonIsland,mismatch,Weak,Children can get bored at weddings.,There was a toddler who a grandmother believed that the caretakers entertained him easily during the reception.
d,32,r32,a,Island,match,Weak,There was an incident at the campsite.,There was a camper who a boy scout speculated whether the troop leader disciplined him rigorously for no reason.
a,32,r32,b,Island,mismatch,Weak,There was an incident at the campsite.,There was a camper who a boy scout speculated whether the troop leader disciplined her rigorously for no reason.
b,32,r32,c,NonIsland,match,Weak,There was an incident at the campsite.,There was a camper who a boy scout thought that the troop leader disciplined him rigorously for no reason.
c,32,r32,d,NonIsland,mismatch,Weak,There was an incident at the campsite.,There was a camper who a boy scout thought that the troop leader disciplined her rigorously for no reason.
a,33,r33,a,Island,match,Strong,A brilliant resume can pay off.,There was an intern who a salesman was amazed because the managers hired him immediately without an interview.
b,33,r33,b,Island,mismatch,Strong,A brilliant resume can pay off.,There was an intern who a salesman was amazed because the managers hired her immediately without an interview.
c,33,r33,c,NonIsland,match,Strong,A brilliant resume can pay off.,There was an intern who a salesman thought that the managers hired him immediately without an interview.
d,33,r33,d,NonIsland,mismatch,Strong,A brilliant resume can pay off.,There was an intern who a salesman thought that the managers hired her immediately without an interview.
b,34,r34,a,Island,match,Strong,Speed traps are becoming common in the city.,There was a driver who a woman was surprised because the police arrested her for speeding last night.
c,34,r34,b,Island,mismatch,Strong,Speed traps are becoming common in the city.,There was a driver who a woman was surprised because the police arrested him for speeding last night.
d,34,r34,c,NonIsland,match,Strong,Speed traps are becoming common in the city.,There was a driver who a woman believed that the police arrested her for speeding last night.
a,34,r34,d,NonIsland,mismatch,Strong,Speed traps are becoming common in the city.,There was a driver who a woman believed that the police arrested him for speeding last night.
c,35,r35,a,Island,match,Strong,Working at a restaurant can be nerve-wracking.,There was a colleague who a waitress was distressed because the cooks criticized her for no reason yesterday.
d,35,r35,b,Island,mismatch,Strong,Working at a restaurant can be nerve-wracking.,There was a colleague who a waitress was distressed because the cooks criticized him for no reason yesterday.
a,35,r35,c,NonIsland,match,Strong,Working at a restaurant can be nerve-wracking.,There was a colleague who a waitress said that the cooks criticized her for no reason yesterday.
b,35,r35,d,NonIsland,mismatch,Strong,Working at a restaurant can be nerve-wracking.,There was a colleague who a waitress said that the cooks criticized him for no reason yesterday.
d,36,r36,a,Island,match,Strong,Working at a hotel is not fun.,There was a server who a hostess was upset because the customers harassed her constantly last week.
a,36,r36,b,Island,mismatch,Strong,Working at a hotel is not fun.,There was a server who a hostess was upset because the customers harassed him constantly last week.
b,36,r36,c,NonIsland,match,Strong,Working at a hotel is not fun.,There was a server who a hostess heard that the customers harassed her constantly last week.
c,36,r36,d,NonIsland,mismatch,Strong,Working at a hotel is not fun.,There was a server who a hostess heard that the customers harassed him constantly last week.
a,37,r37,a,Island,match,Weak,Show business is tough.,There was an agent who an actress wondered whether the producers despised her vehemently for good reason.
b,37,r37,b,Island,mismatch,Weak,Show business is tough.,There was an agent who an actress wondered whether the producers despised him vehemently for good reason.
c,37,r37,c,NonIsland,match,Weak,Show business is tough.,There was an agent who an actress thought that the producers despised her vehemently for good reason.
d,37,r37,d,NonIsland,mismatch,Weak,Show business is tough.,There was an agent who an actress thought that the producers despised him vehemently for good reason.
b,38,r38,a,Island,match,Weak,Good educators are a blessing.,There was a teacher who a mom inquired whether the children liked her a lot with no reservation.
c,38,r38,b,Island,mismatch,Weak,Good educators are a blessing.,There was a teacher who a mom inquired whether the children liked him a lot with no reservation.
d,38,r38,c,NonIsland,match,Weak,Good educators are a blessing.,There was a teacher who a mom said that the children liked her a lot with no reservation.
a,38,r38,d,NonIsland,mismatch,Weak,Good educators are a blessing.,There was a teacher who a mom said that the children liked him a lot with no reservation.
c,39,r39,a,Island,match,Weak,Banks are very careful about giving out loans.,There was a partner who a businessman asked whether the associates trusted him completely without doubt.
d,39,r39,b,Island,mismatch,Weak,Banks are very careful about giving out loans.,There was a partner who a businessman asked whether the associates trusted her completely without doubt.
a,39,r39,c,NonIsland,match,Weak,Banks are very careful about giving out loans.,There was a partner who a businessman thought that the associates trusted him completely without doubt.
b,39,r39,d,NonIsland,mismatch,Weak,Banks are very careful about giving out loans.,There was a partner who a businessman thought that the associates trusted her completely without doubt.
d,40,r40,a,Island,match,Weak,Good help is hard to find.,There was an employee who a workman speculated whether the company hired him directly from the agency.
a,40,r40,b,Island,mismatch,Weak,Good help is hard to find.,There was an employee who a workman speculated whether the company hired her directly from the agency.
b,40,r40,c,NonIsland,match,Weak,Good help is hard to find.,There was an employee who a workman said that the company hired him directly from the agency.
c,40,r40,d,NonIsland,mismatch,Weak,Good help is hard to find.,There was an employee who a workman said that the company hired her directly from the agency.
a,41,r41,a,Island,match,Strong,Flying with a baby is tough on everyone.,There was a flight attendant who a father was worried because a crying baby distressed him tremendously during the descent.
b,41,r41,b,Island,mismatch,Strong,Flying with a baby is tough on everyone.,There was a flight attendant who a father was worried because a crying baby distressed her tremendously during the descent.
c,41,r41,c,NonIsland,match,Strong,Flying with a baby is tough on everyone.,There was a flight attendant who a father thought that a crying baby distressed him tremendously during the descent.
d,41,r41,d,NonIsland,mismatch,Strong,Flying with a baby is tough on everyone.,There was a flight attendant who a father thought that a crying baby distressed her tremendously during the descent.
b,42,r42,a,Island,match,Weak,Universites are recruiting high school athletes.,There was a team member who a brother wondered whether a recruiter contacted him recently about a university scholarship.
c,42,r42,b,Island,mismatch,Weak,Universites are recruiting high school athletes.,There was a team member who a brother wondered whether a recruiter contacted her recently about a university scholarship.
d,42,r42,c,NonIsland,match,Weak,Universites are recruiting high school athletes.,There was a team member who a brother believed that a recruiter contacted him recently about a university scholarship.
a,42,r42,d,NonIsland,mismatch,Weak,Universites are recruiting high school athletes.,There was a team member who a brother believed that a recruiter contacted her recently about a university scholarship.
c,43,r43,a,Island,match,Strong,Crime rates are high in this neighborhood.,There was a thief who an uncle was wary because the police chased him dangerously down the busy street.
d,43,r43,b,Island,mismatch,Strong,Crime rates are high in this neighborhood.,There was a thief who an uncle was wary because the police chased her dangerously down the busy street.
a,43,r43,c,NonIsland,match,Strong,Crime rates are high in this neighborhood.,There was a thief who an uncle said that the police chased him dangerously down the busy street.
b,43,r43,d,NonIsland,mismatch,Strong,Crime rates are high in this neighborhood.,There was a thief who an uncle said that the police chased her dangerously down the busy street.
d,44,r44,a,Island,match,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a neighbor who a landlady asked whether the investor called her this week about a development project.
a,44,r44,b,Island,mismatch,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a neighbor who a landlady asked whether the investor called him this week about a development project.
b,44,r44,c,NonIsland,match,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a neighbor who a landlady thought that the investor called her this week about a development project.
c,44,r44,d,NonIsland,mismatch,Weak,Many of the city's suburbs are undergoing a makeover. ,There was a neighbor who a landlady thought that the investor called him this week about a development project.
a,45,r45,a,Island,match,Strong,There are questions about what's going on at the local church.,There was a churchgoer who a priest was upset because a whistleblower wrote him secretly about a scandal.
b,45,r45,b,Island,mismatch,Strong,There are questions about what's going on at the local church.,There was a churchgoer who a priest was upset because a whistleblower wrote her secretly about a scandal.
c,45,r45,c,NonIsland,match,Strong,There are questions about what's going on at the local church.,There was a churchgoer who a priest believed that a whistleblower wrote him secretly about a scandal.
d,45,r45,d,NonIsland,mismatch,Strong,There are questions about what's going on at the local church.,There was a churchgoer who a priest believed that a whistleblower wrote her secretly about a scandal.
b,46,r46,a,Island,match,Weak,Getting meals at school is important for lots of kids.,There was a volunteer who a lunchlady wondered whether the students appreciated her for the extra cookies.
c,46,r46,b,Island,mismatch,Weak,Getting meals at school is important for lots of kids.,There was a volunteer who a lunchlady wondered whether the students appreciated him for the extra cookies.
d,46,r46,c,NonIsland,match,Weak,Getting meals at school is important for lots of kids.,There was a volunteer who a lunchlady said that the students appreciated her for the extra cookies.
a,46,r46,d,NonIsland,mismatch,Weak,Getting meals at school is important for lots of kids.,There was a volunteer who a lunchlady said that the students appreciated him for the extra cookies.
c,47,r47,a,Island,match,Strong,The movie industry can be unforgiving.,There was a stagehand who a stuntman was distracted because the actors criticized him unjustly on the set.
d,47,r47,b,Island,mismatch,Strong,The movie industry can be unforgiving.,There was a stagehand who a stuntman was distracted because the actors criticized her unjustly on the set.
a,47,r47,c,NonIsland,match,Strong,The movie industry can be unforgiving.,There was a stagehand who a stuntman believed that the actors criticized him unjustly on the set.
b,47,r47,d,NonIsland,mismatch,Strong,The movie industry can be unforgiving.,There was a stagehand who a stuntman believed that the actors criticized her unjustly on the set.
d,48,r48,a,Island,match,Weak,It's hard to be successful in politics without allies.,There was a judge who a congresswoman wondered whether the senate members accepted her with open arms.
a,48,r48,b,Island,mismatch,Weak,It's hard to be successful in politics without allies.,There was a judge who a congresswoman wondered whether the senate members accepted him with open arms.
b,48,r48,c,NonIsland,match,Weak,It's hard to be successful in politics without allies.,There was a judge who a congresswoman thought that the senate members accepted her with open arms.
c,48,r48,d,NonIsland,mismatch,Weak,It's hard to be successful in politics without allies.,There was a judge who a congresswoman thought that the senate members accepted him with open arms.
a,49,r49,a,Island,match,Strong,Some people can't take a joke.,There was a servant who a squire consoled because a jester mocked him ruthlessly at dinner.
b,49,r49,b,Island,mismatch,Strong,Some people can't take a joke.,There was a servant who a squire consoled because a jester mocked her ruthlessly at dinner.
c,49,r49,c,NonIsland,match,Strong,Some people can't take a joke.,There was a servant who a squire recalled that a jester mocked him ruthlessly at dinner.
d,49,r49,d,NonIsland,mismatch,Strong,Some people can't take a joke.,There was a servant who a squire recalled that a jester mocked her ruthlessly at dinner.
b,50,r50,a,Island,match,Weak,There were several people at a dangerous intersection.,There was a pedestrian who a grandma wondered whether car drivers saw her clearly on the sidewalk.
c,50,r50,b,Island,mismatch,Weak,There were several people at a dangerous intersection.,There was a pedestrian who a grandma wondered whether car drivers saw him clearly on the sidewalk.
d,50,r50,c,NonIsland,match,Weak,There were several people at a dangerous intersection.,There was a pedestrian who a grandma hoped that car drivers saw her clearly on the sidewalk.
a,50,r50,d,NonIsland,mismatch,Weak,There were several people at a dangerous intersection.,There was a pedestrian who a grandma hoped that car drivers saw him clearly on the sidewalk.
c,51,r51,a,Island,match,Strong,The crowd was getting unruly at the football game.,There was a spectator who a boy was mad because security asked him suddenly to leave.
d,51,r51,b,Island,mismatch,Strong,The crowd was getting unruly at the football game.,There was a spectator who a boy was mad because security asked her suddenly to leave.
a,51,r51,c,NonIsland,match,Strong,The crowd was getting unruly at the football game.,There was a spectator who a boy heard that security asked him suddenly to leave.
b,51,r51,d,NonIsland,mismatch,Strong,The crowd was getting unruly at the football game.,There was a spectator who a boy heard that security asked her suddenly to leave.
d,52,r52,a,Island,match,Weak,The high school track championship was coming to an end.,There was a runner who a dad wondered whether a college offered him a full scholarship for next year.
a,52,r52,b,Island,mismatch,Weak,The high school track championship was coming to an end.,There was a runner who a dad wondered whether a college offered her a full scholarship for next year.
b,52,r52,c,NonIsland,match,Weak,The high school track championship was coming to an end.,There was a runner who a dad hoped that a college offered him a full scholarship for next year.
c,52,r52,d,NonIsland,mismatch,Weak,The high school track championship was coming to an end.,There was a runner who a dad hoped that a college offered her a full scholarship for next year.
a,53,r53,a,Island,match,Strong,There was a new case the department was investigating.,There was a journalist who a policeman was impressed because the city thanked him publicly for cracking the case.
b,53,r53,b,Island,mismatch,Strong,There was a new case the department was investigating.,There was a journalist who a policeman was impressed because the city thanked her publicly for cracking the case.
c,53,r53,c,NonIsland,match,Strong,There was a new case the department was investigating.,There was a journalist who a policeman said that the city thanked him publicly for cracking the case.
d,53,r53,d,NonIsland,mismatch,Strong,There was a new case the department was investigating.,There was a journalist who a policeman said that the city thanked her publicly for cracking the case.
