Group,Item,ID,factor1,factor2,Context,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb,CorrectAns
a,b03,b03c,doublematch,pronoun,It was the first day of Summer vacation. ,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built him a magnificent sand castle.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,build,0
b,b03,b03d,singlematch,pronoun,It was the first day of Summer vacation. ,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built her a magnificent sand castle.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,build,0
d,b04,b04a,doublematch,reflexive,It is interesting to learn how food is made.,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,make,1
a,b04,b04b,singlematch,reflexive,It is interesting to learn how food is made.,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,make,1
b,b04,b04c,doublematch,pronoun,It is interesting to learn how food is made.,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made him some special rich cheese.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,make,0
c,b04,b04d,singlematch,pronoun,It is interesting to learn how food is made.,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made her some special rich cheese.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,make,0
a,b05,b05a,doublematch,reflexive,Extracurricular activities can be a lot of fun.,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy,1
b,b05,b05b,singlematch,reflexive,Extracurricular activities can be a lot of fun.,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy,1
c,b05,b05c,doublematch,pronoun,Extracurricular activities can be a lot of fun.,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought him a new canoe.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy,0
d,b05,b05d,singlematch,pronoun,Extracurricular activities can be a lot of fun.,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought her a new canoe.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,buy,0
b,b06,b06a,doublematch,reflexive,Dinner would not be ready for a while.,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,crack,1
c,b06,b06b,singlematch,reflexive,Dinner would not be ready for a while.,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,crack,1
d,b06,b06c,doublematch,pronoun,Dinner would not be ready for a while.,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking him a huge walnut.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,crack,0
a,b06,b06d,singlematch,pronoun,Dinner would not be ready for a while.,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking her a huge walnut.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,crack,0
c,b07,b07a,doublematch,reflexive,It was almost time to eat lunch.,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make,1
d,b07,b07b,singlematch,reflexive,It was almost time to eat lunch.,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make,1
a,b07,b07c,doublematch,pronoun,It was almost time to eat lunch.,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made her a large salami pizza.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make,0
b,b07,b07d,singlematch,pronoun,It was almost time to eat lunch.,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made him a large salami pizza.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make,0
d,b08,b08a,doublematch,reflexive,It was an extra warm Saturday afternoon.,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,buy,1
a,b08,b08b,singlematch,reflexive,It was an extra warm Saturday afternoon.,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,buy,1
b,b08,b08c,doublematch,pronoun,It was an extra warm Saturday afternoon.,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought her a large ice cream cone.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,buy,0
c,b08,b08d,singlematch,pronoun,It was an extra warm Saturday afternoon.,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought him a large ice cream cone.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,buy,0
a,b09,b09a,doublematch,reflexive,Everyone was home for the weekend.,The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked herself a large apple pie.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,bake,1
b,b09,b09b,singlematch,reflexive,Everyone was home for the weekend.,The young boy was feeling very hungry. He watched as the old woman who was holding a spoon baked herself a large apple pie.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,bake,1
c,b09,b09c,doublematch,pronoun,Everyone was home for the weekend.,The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked her a large apple pie.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,bake,0
d,b09,b09d,singlematch,pronoun,Everyone was home for the weekend.,The young boy was feeling very hungry. He watched as the old woman who was holding a spoon baked him a large apple pie.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,bake,0
b,b10,b10a,doublematch,reflexive,It was a cold January afternoon.,The young girl watched the snow falling outside. She could hear that the old woman who was holding a shovel was making herself a log fire.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make,1
c,b10,b10b,singlematch,reflexive,It was a cold January afternoon.,The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making herself a log fire.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make,1
d,b10,b10c,doublematch,pronoun,It was a cold January afternoon.,The young girl watched the snow falling outside. She could hear that the old woman who was holding a shovel  was making her a log fire.,"Who does ""her"" refer to? ",The young girl,More likely the young boy,Could be either,More likely the old woman,The old woman,make,0
a,b10,b10d,singlematch,pronoun,It was a cold January afternoon.,The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making him a log fire.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make,0
c,b11,b11a,doublematch,reflexive,The holidays are a busy time for mail.,The old man was watching the customers in the post office. He wondered why the young boy who was wearing a dress shirt sent himself a small package.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,send,1
d,b11,b11b,singlematch,reflexive,The holidays are a busy time for mail.,The old woman was watching the customers in the post office. She wondered why the young boy who was wearing a dress shirt sent himself a small package.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,send,1
a,b11,b11c,doublematch,pronoun,The holidays are a busy time for mail.,The old man was watching the customers in the post office. He wondered why the young boy who was wearing a dress shirt sent him a small package.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,send,0
b,b11,b11d,singlematch,pronoun,The holidays are a busy time for mail.,The old woman was watching the customers in the post office. She wondered why the young boy who was wearing a dress shirt sent her a small package.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,send,0
d,b12,b12a,doublematch,reflexive,It was a quiet morning in the house.,The old man was standing in the kitchen. He noticed that the young boy who was holding a ladle boiled himself a large egg.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,boil,1
a,b12,b12b,singlematch,reflexive,It was a quiet morning in the house.,The old woman was standing in the kitchen. She noticed that the young boy who was holding a ladle boiled himself a large egg.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,boil,1
b,b12,b12c,doublematch,pronoun,It was a quiet morning in the house.,The old man was standing in the kitchen. He noticed that the young boy who was holding a ladle boiled him a large egg.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,boil,0
c,b12,b12d,singlematch,pronoun,It was a quiet morning in the house.,The old woman was standing in the kitchen. She noticed that the young boy who was holding a ladle boiled her a large egg.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,boil,0
a,b13,b13a,doublematch,reflexive,It takes practice to be a good musician.,The old man was listening very hard. He knew that the young boy who was practicing the piano found himself some new classical music pieces to play.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,find,1
b,b13,b13b,singlematch,reflexive,It takes practice to be a good musician.,The old woman was listening very hard. She knew that the young boy who was practicing the piano found himself some new classical music pieces to play.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,find,1
c,b13,b13c,doublematch,pronoun,It takes practice to be a good musician.,The old man was listening very hard. He knew that the young boy who was practicing the piano found him some new classical music pieces to play.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,find,0
d,b13,b13d,singlematch,pronoun,It takes practice to be a good musician.,The old woman was listening very hard. She knew that the young boy who was practicing the piano found her some new classical music pieces to play.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,find,0
b,b14,b14a,doublematch,reflexive,It had been a very mild October.,The old man was looking forward to Halloween. He knew that the young boy who was dressing up as a ghost had carved himself a giant pumpkin that would make a nice lantern.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,carve,1
c,b14,b14b,singlematch,reflexive,It had been a very mild October.,The old woman was looking forward to Halloween. She knew that the young boy who was dressing up as a ghost had carved himself a giant pumpkin that would make a nice lantern.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,carve,1
d,b14,b14c,doublematch,pronoun,It had been a very mild October.,The old man was looking forward to Halloween. He knew that the young boy who was dressing up as a ghost had carved him a giant pumpkin that would make a nice lantern.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,carve,0
a,b14,b14d,singlematch,pronoun,It had been a very mild October.,The old woman was looking forward to Halloween. She knew that the young boy who was dressing up as a ghost had carved her a giant pumpkin that would make a nice lantern.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,carve,0
c,b15,b15a,doublematch,reflexive,People often avoid talking in front of crowds.,The old man was very nervous before the TV interview. He suddenly realized that the young boy who was wearing a headset got himself a microphone.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,get,1
d,b15,b15b,singlematch,reflexive,People often avoid talking in front of crowds.,The old woman was very nervous before the TV interview. She suddenly realized that the young boy who was wearing a headset got himself a microphone.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,get,1
a,b15,b15c,doublematch,pronoun,People often avoid talking in front of crowds.,The old man was very nervous before the TV interview. He suddenly realized that the young boy who was wearing a headset got him a microphone.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,get,0
b,b15,b15d,singlematch,pronoun,People often avoid talking in front of crowds.,The old woman was very nervous before the TV interview. She suddenly realized that the young boy who was wearing a headset got her a microphone.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,get,0
d,b16,b16a,doublematch,reflexive,Warm layers are important in the cold months.,The old man knew that winter wasn't very far away. He smiled when the young boy who was wearing thick socks knit himself a long woolen scarf by the old fireplace.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,knit,1
a,b16,b16b,singlematch,reflexive,Warm layers are important in the cold months.,The old woman knew that winter wasn't very far away. She smiled when the young boy who was wearing thick socks knit himself a long woolen scarf by the old fireplace.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,knit,1
b,b16,b16c,doublematch,pronoun,Warm layers are important in the cold months.,The old man knew that winter wasn't very far away. He smiled when the young boy who was wearing thick socks knit him a long woolen scarf by the old fireplace.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,knit,0
c,b16,b16d,singlematch,pronoun,Warm layers are important in the cold months.,The old woman knew that winter wasn't very far away. She smiled when the young boy who was wearing thick socks knit her a long woolen scarf by the old fireplace.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,knit,0
a,b17,b17a,doublematch,reflexive,Everyone was winding down for the day.,The old man was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running himself a bath shortly after dinner.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,run,1
b,b17,b17b,singlematch,reflexive,Everyone was winding down for the day.,The old woman was very tired. She barely noticed that the young boy who was wearing a black shirt was noisily running himself a bath shortly after dinner.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,run,1
c,b17,b17c,doublematch,pronoun,Everyone was winding down for the day.,The old man was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running him a bath shortly after dinner.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,run,0
d,b17,b17d,singlematch,pronoun,Everyone was winding down for the day.,The old woman was very tired. He barely noticed that the young boy who was wearing a black shirt was noisily running her a bath shortly after dinner.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,run,0
b,b18,b18a,doublematch,reflexive,The inventive process can be very interesting.,The old man was fascinated by technology. He was impressed when the young boy who was holding a screwdriver built himself a toy robot from scrap metal and cardboard.,"Who does ""himself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,build,1
c,b18,b18b,singlematch,reflexive,The inventive process can be very interesting.,The old woman was fascinated by technology. She was impressed when the young boy who was holding a screwdriver built himself a toy robot from scrap metal and cardboard.,"Who does ""himself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,build,1
d,b18,b18c,doublematch,pronoun,The inventive process can be very interesting.,The old man was fascinated by technology. He was impressed when the young boy who was holding a screwdriver built him a toy robot from scrap metal and cardboard.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young boy,The young boy,build,0
a,b18,b18d,singlematch,pronoun,The inventive process can be very interesting.,The old woman was fascinated by technology. She was impressed when the young boy who was holding a screwdriver built her a toy robot from scrap metal and cardboard.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young boy,The young boy,build,0
c,b19,b19a,doublematch,reflexive,Christmas is a busy time for shopping.,The old woman was looking around the toy shop. She frowned when the young girl who was eating a lollipop bought herself a broken toy.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,buy,1
d,b19,b19b,singlematch,reflexive,Christmas is a busy time for shopping.,The old man was looking around the toy shop. He frowned when the young girl who was eating a lollipop bought herself a broken toy.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,buy,1
a,b19,b19c,doublematch,pronoun,Christmas is a busy time for shopping.,The old woman was looking around the toy shop. She frowned when the young girl who was eating a lollipop bought her a broken toy.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,buy,0
b,b19,b19d,singlematch,pronoun,Christmas is a busy time for shopping.,The old man was looking around the toy shop. He frowned when the young girl who was eating a lollipop bought him a broken toy.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,buy,0
d,b20,b20a,doublematch,reflexive,There is a lot to learn about the world.,The old woman used to teach geography. She was pleased to see that the young girl who was holding a paint brush drew herself a large colourful map.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,draw,1
a,b20,b20b,singlematch,reflexive,There is a lot to learn about the world.,The old man used to teach geography. He was pleased to see that the young girl who was holding a paint brush drew herself a large colourful map.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,draw,1
b,b20,b20c,doublematch,pronoun,There is a lot to learn about the world.,The old woman used to teach geography. She was pleased to see that the young girl who was holding a paint brush drew her a large colourful map.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,draw,0
c,b20,b20d,singlematch,pronoun,There is a lot to learn about the world.,The old man used to teach geography. He was pleased to see that the young girl who was holding a paint brush drew him a large colourful map.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,draw,0
a,b21,b21a,doublematch,reflexive,Not everyone approves of drinking.,The old woman was grim-looking. She was annoyed when the young girl who was swinging a wine bottle bought herself a rum cocktail with an umbrella.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,buy,1
b,b21,b21b,singlematch,reflexive,Not everyone approves of drinking.,The old man was grim-looking. He was annoyed when the young girl who was swinging a wine bottle bought herself a rum cocktail with an umbrella.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,buy,1
c,b21,b21c,doublematch,pronoun,Not everyone approves of drinking.,The old woman was grim-looking. She was annoyed when the young girl who was swinging a wine bottle bought her a rum cocktail with an umbrella.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,buy,0
d,b21,b21d,singlematch,pronoun,Not everyone approves of drinking.,The old man was grim-looking. He was annoyed when the young girl who was swinging a wine bottle bought him a rum cocktail with an umbrella.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,buy,0
b,b22,b22a,doublematch,reflexive,A cold drink can be refreshing on a warm day.,The old woman was making some lemonade. She asked whether the young girl who was chilling on the couch could fetch herself a clean glass.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,fetch,1
c,b22,b22b,singlematch,reflexive,A cold drink can be refreshing on a warm day.,The old man was making some lemonade. He asked whether the young girl who was chilling on the couch could fetch herself a clean glass.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,fetch,1
a,b22,b22c,doublematch,pronoun,A cold drink can be refreshing on a warm day.,The old woman was making some lemonade. She asked whether the young girl who was chilling on the couch could fetch her a clean glass.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,fetch,0
b,b22,b22d,singlematch,pronoun,A cold drink can be refreshing on a warm day.,The old man was making some lemonade. He asked whether the young girl who was chilling on the couch could fetch him a clean glass.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,fetch,0
c,b23,b23a,doublematch,reflexive,Some people are more sensitive than others.,The old woman couldn't stand the sight of blood. She was relieved when the young girl who was carrying a first aid kit patched herself with a band aid.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,patch,1
d,b23,b23b,singlematch,reflexive,Some people are more sensitive than others.,The old man couldn't stand the sight of blood. He was relieved when the young girl who was carrying a first aid kit patched herself with a band aid.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,patch,1
a,b23,b23c,doublematch,pronoun,Some people are more sensitive than others.,The old woman couldn't stand the sight of blood. She was relieved when the young girl who was carrying a first aid kit patched her with a band aid.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,patch,0
b,b23,b23d,singlematch,pronoun,Some people are more sensitive than others.,The old man couldn't stand the sight of blood. He was relieved when the young girl who was carrying a first aid kit patched him with a band aid.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,patch,0
d,b24,b24a,doublematch,reflexive,Clothes can say a lot about a person.,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,make,1
a,b24,b24b,singlematch,reflexive,Clothes can say a lot about a person.,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,make,1
b,b24,b24c,doublematch,pronoun,Clothes can say a lot about a person.,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made her a beautiful brown belt.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,make,0
c,b24,b24d,singlematch,pronoun,Clothes can say a lot about a person.,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made him a beautiful brown belt.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,make,0
a,b25,bfiller,he,subject,New jobs can be very stressful.,The new hires were going to start next week. Michael assured Sarah that he was prepared for the new job at the factory.,"Who does ""he"" refer to?",Michael,More likely Michael,Could be either,More likely Sarah,Sarah,,1
a,b26,bfiller,he,object,Extra help can make everything run smoother.,Summer was a very busy time for hotdog sales. Susan convinced Joseph that he would benefit from the extra help at the snack bar.,"Who does ""he"" refer to?",Susan,More likely Susan,Could be either,More likely Joseph,Jospeh,,0
a,b27,bfiller,she,subject,New recipes can be fun to try.,The kitchen was missing a lot of necessities. Tamara told David that she would need a food processor to make that recipe.,"Who does ""she"" refer to?",Tamara,More likely Tamara,Could be either,More likely David,David,,1
a,b28,bfiller,she,object,Religion is very important to some people.,Church attendance had been very low lately. Robert informed Julia that she has to attend Sunday morning mass this week.,"Who does ""she"" refer to?",Robert,More likely Robert,Could be either,More likely Julia,Julia,,0
a,b29,bfiller,he,subject,Some say a vegetarian diet is very healthy.,It had been hard to be strict about the new diet. Kyle reminded Chloe that he couldn't eat that lasagna because it wasn't vegetarian.,"Who does ""he"" refer to?",Kyle,More likely Kyle,Could be either,More likely Chloe,Chloe,,1
a,b30,bfiller,he,object,Extra help is always needed during election season.,Everyone was already volunteering extra hours. Emily told Joel that he should recruit a new intern for the senate campaign.,"Who does ""he"" refer to?",Emily,More likely Emily,Could be either,More likely Joel,Joel,,0
a,b31,bfiller,she,subject,Collaborating with others can be difficult.,All the interns were very eager to learn. Brittany showed Samuel that she could create high quality designs for even the pickiest clients,"Who does ""she"" refer to?",Brittany,More likely Brittany,Could be either,More likely Samuel,Samuel,,1
a,b32,bfiller,she,object,It is important to take time off when injured.,The restaurant was always busiest for breakfast. Andrew warned Hannah that she couldn't work the morning shift because of her shoulder injury.,"Who does ""she"" refer to?",Andrew,More likely Andrew,Could be either,More likely Hannah,Hannah,,0
a,b33,bfiller,he,subject,Paperwork can be very confusing.,Everyone was feeling especially stressed. Oliver warned Shelby that he didn't have all the documents for the immigration official.,"Who does ""he"" refer to?",Oliver,More likely Oliver,Could be either,More likely Shelby,Shelby,,1
a,b34,bfiller,he,object,Interviews can be very difficult.,Thankfully everyone seemed to be in a good mood. Jennifer convinced Victor that he was perfect for that position in the foreign services.,"Who does ""he"" refer to?",Jennifer,More likely Jennifer,Could be either,More likely Victor,Victor,,0
a,b35,bfiller,she,subject,All the graduates were relieved.,The ceremony was coming to an end. Tiffany warned Charles that she was unprepared to give a speech at the graduation ceremony.,"Who does ""she"" refer to?",Tiffany,More likely Tiffany,Could be either,More likely Charles,Charles,,1
a,b36,bfiller,she,object,Home repairs are very stressful.,The renovations had taken months already. Mike told Kaitlyn that she would need to hire more repairmen.,"Who does ""she"" refer to?",Mike,More likely Mike,Could be either,More likely Kaitlyn,Kaitlyn,,0
a,b37,bfiller,he,subject,Funding can be hard to come by.,Everyone was feeling optimistic. The Pope promised the nun that he would get funding for human rights campaigns.,"Who does ""he"" refer to?",The Pope,More likely the Pope,Could be either,More likely the nun,the nun,,1
